Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,6000.000000,6110.000000,5660.000000,6110.000000,4449.711426,74195000
2000-01-05,5800.000000,6060.000000,5520.000000,5580.000000,4063.728760,74680000
2000-01-06,5750.000000,5780.000000,5580.000000,5620.000000,4092.860107,54390000
2000-01-07,5560.000000,5670.000000,5360.000000,5540.000000,4034.597656,40305000
2000-01-10,5600.000000,5770.000000,5580.000000,5770.000000,4202.100586,46880000
2000-01-11,5820.000000,6100.000000,5770.000000,5770.000000,4202.100586,59745000
2000-01-12,5610.000000,5740.000000,5600.000000,5720.000000,4165.686523,29220000
2000-01-13,5600.000000,5740.000000,5560.000000,5710.000000,4158.403320,41190000
2000-01-14,5720.000000,5880.000000,5680.000000,5830.000000,4245.796387,49375000
2000-01-17,6000.000000,6180.000000,5920.000000,6100.000000,4442.427734,63505000
2000-01-18,6160.000000,6160.000000,5980.000000,6100.000000,4442.427734,45260000
2000-01-19,6000.000000,6040.000000,5960.000000,5960.000000,4340.470215,40205000
2000-01-20,5860.000000,6040.000000,5820.000000,6040.000000,4398.730469,37315000
2000-01-21,5950.000000,5980.000000,5880.000000,5880.000000,4282.208008,32535000
2000-01-24,5800.000000,5900.000000,5700.000000,5700.000000,4151.122559,34355000
2000-01-25,5520.000000,5640.000000,5440.000000,5440.000000,3961.771729,44250000
2000-01-26,5500.000000,5520.000000,5410.000000,5480.000000,3990.903320,29285000
2000-01-27,5480.000000,5620.000000,5430.000000,5520.000000,4020.033691,27900000
2000-01-28,5640.000000,5880.000000,5540.000000,5820.000000,4238.513672,38315000
2000-01-31,5640.000000,5730.000000,5560.000000,5580.000000,4063.728760,39630000
2000-02-01,5600.000000,5680.000000,5260.000000,5320.000000,3874.379395,71470000
2000-02-02,5220.000000,5370.000000,5110.000000,5250.000000,3823.402100,64105000
2000-02-03,5250.000000,5460.000000,4970.000000,5130.000000,3736.008789,142765000
2000-02-04,5130.000000,5130.000000,5130.000000,5130.000000,3736.008789,0
2000-02-07,5140.000000,5330.000000,5040.000000,5240.000000,3816.117188,64140000
2000-02-08,5340.000000,5480.000000,5310.000000,5430.000000,3954.489746,58460000
2000-02-09,5560.000000,5720.000000,5480.000000,5720.000000,4165.686523,51050000
2000-02-10,5660.000000,5880.000000,5600.000000,5760.000000,4194.816895,61845000
2000-02-11,5960.000000,5960.000000,5680.000000,5700.000000,4151.122559,34660000
2000-02-14,5600.000000,5660.000000,5340.000000,5380.000000,3918.075439,44140000
2000-02-15,5380.000000,5420.000000,5140.000000,5200.000000,3786.989258,38315000
2000-02-16,5180.000000,5200.000000,4780.000000,5000.000000,3641.332764,73115000
2000-02-17,4940.000000,5100.000000,4910.000000,5080.000000,3699.594727,65185000
2000-02-18,5370.000000,5630.000000,5160.000000,5300.000000,3859.813232,108750000
2000-02-21,5200.000000,5260.000000,5030.000000,5070.000000,3692.312988,26485000
2000-02-22,5000.000000,5240.000000,5000.000000,5120.000000,3728.727295,24180000
2000-02-23,5220.000000,5260.000000,5100.000000,5140.000000,3743.291992,27720000
2000-02-24,5120.000000,5240.000000,5060.000000,5070.000000,3692.312988,26075000
2000-02-25,5080.000000,5150.000000,4980.000000,5120.000000,3728.727295,27875000
2000-02-28,5000.000000,5050.000000,4800.000000,4800.000000,3495.680420,30140000
2000-02-29,4900.000000,5140.000000,4840.000000,5120.000000,3728.727295,51820000
2000-03-01,5120.000000,5120.000000,5120.000000,5120.000000,3728.727295,0
2000-03-02,5880.000000,5880.000000,5520.000000,5880.000000,4282.208008,117750000
2000-03-03,6200.000000,6250.000000,5880.000000,6000.000000,4369.600586,140990000
2000-03-06,6000.000000,6050.000000,5600.000000,5640.000000,4107.424316,39150000
2000-03-07,5600.000000,5640.000000,5480.000000,5620.000000,4092.860107,30070000
2000-03-08,5520.000000,6000.000000,5500.000000,5920.000000,4311.339844,32460000
2000-03-09,5970.000000,5980.000000,5620.000000,5620.000000,4092.860107,55890000
2000-03-10,5790.000000,5800.000000,5520.000000,5540.000000,4034.597656,28605000
2000-03-13,5480.000000,5490.000000,5160.000000,5180.000000,3772.422607,32215000
2000-03-14,5170.000000,5380.000000,5160.000000,5210.000000,3794.269531,30060000
2000-03-15,5200.000000,5400.000000,5120.000000,5400.000000,3932.640869,46105000
2000-03-16,5480.000000,5520.000000,5360.000000,5400.000000,3932.640869,28795000
2000-03-17,5540.000000,5560.000000,5400.000000,5480.000000,3990.903320,24080000
2000-03-20,5600.000000,5710.000000,5530.000000,5660.000000,4121.990234,26365000
2000-03-21,5700.000000,5940.000000,5610.000000,5880.000000,4282.208008,44925000
2000-03-22,5960.000000,6300.000000,5880.000000,6200.000000,4515.254395,86975000
2000-03-23,6480.000000,6580.000000,6200.000000,6200.000000,4515.254395,64950000
2000-03-24,6320.000000,7120.000000,6180.000000,6800.000000,4952.213867,90260000
2000-03-27,6960.000000,7040.000000,6700.000000,6800.000000,4952.213867,67730000
2000-03-28,6900.000000,7260.000000,6820.000000,7030.000000,5119.715332,74425000
2000-03-29,7030.000000,7680.000000,6980.000000,7660.000000,5578.524414,78090000
2000-03-30,7520.000000,7560.000000,7050.000000,7050.000000,5134.281738,74645000
2000-03-31,6800.000000,7070.000000,6650.000000,6700.000000,4879.387695,63855000
2000-04-03,6920.000000,7320.000000,6860.000000,7100.000000,5170.694336,56805000
2000-04-04,7000.000000,7290.000000,6660.000000,6800.000000,4952.213867,58340000
2000-04-05,6800.000000,6800.000000,6800.000000,6800.000000,4952.213867,0
2000-04-06,6860.000000,6960.000000,6680.000000,6680.000000,4864.823730,47235000
2000-04-07,6860.000000,7260.000000,6780.000000,7200.000000,5243.519531,42355000
2000-04-10,7500.000000,7500.000000,7200.000000,7300.000000,5316.346680,35885000
2000-04-11,7200.000000,7200.000000,6950.000000,7100.000000,5170.694336,29075000
2000-04-12,6960.000000,7030.000000,6860.000000,6910.000000,5032.323242,35250000
2000-04-13,6910.000000,6910.000000,6910.000000,6910.000000,5032.323242,0
2000-04-14,6600.000000,6680.000000,6260.000000,6260.000000,4558.950684,62365000
2000-04-17,5420.000000,5750.000000,5340.000000,5520.000000,4020.033691,78050000
2000-04-18,6200.000000,6240.000000,5860.000000,6040.000000,4398.730469,73730000
2000-04-19,6300.000000,6460.000000,5860.000000,6000.000000,4369.600586,60615000
2000-04-20,5960.000000,6160.000000,5920.000000,6020.000000,4384.166992,37335000
2000-04-21,6060.000000,6180.000000,5970.000000,6050.000000,4406.015625,26425000
2000-04-24,5970.000000,6030.000000,5760.000000,5800.000000,4223.948242,27830000
2000-04-25,5620.000000,5760.000000,5520.000000,5640.000000,4107.424316,34900000
2000-04-26,5820.000000,5860.000000,5600.000000,5600.000000,4078.295654,39290000
2000-04-27,5520.000000,5700.000000,5400.000000,5400.000000,3932.640869,54110000
2000-04-28,5500.000000,6100.000000,5460.000000,6000.000000,4369.600586,75530000
2000-05-01,6000.000000,6000.000000,6000.000000,6000.000000,4369.600586,0
2000-05-02,6200.000000,6530.000000,6120.000000,6280.000000,4573.517090,72335000
2000-05-03,6240.000000,6260.000000,6090.000000,6180.000000,4500.689941,26585000
2000-05-04,6220.000000,6360.000000,6140.000000,6180.000000,4500.689941,26100000
2000-05-05,6180.000000,6180.000000,6180.000000,6180.000000,4500.689941,0
2000-05-08,6400.000000,6700.000000,6300.000000,6560.000000,4777.429688,52695000
2000-05-09,6560.000000,6560.000000,6560.000000,6560.000000,4777.429688,0
2000-05-10,6320.000000,6390.000000,6270.000000,6350.000000,4624.493164,27620000
2000-05-11,6350.000000,6350.000000,6350.000000,6350.000000,4624.493164,0
2000-05-12,6420.000000,6440.000000,6160.000000,6160.000000,4486.124023,47170000
2000-05-15,6290.000000,6530.000000,6220.000000,6440.000000,4690.037598,47120000
2000-05-16,6510.000000,6800.000000,6510.000000,6800.000000,4952.213867,39620000
2000-05-17,7000.000000,7340.000000,6920.000000,6920.000000,5039.606445,76235000
2000-05-18,6740.000000,7000.000000,6680.000000,6800.000000,4952.213867,36580000
2000-05-19,6740.000000,6900.000000,6600.000000,6900.000000,5025.040527,41450000
2000-05-22,6720.000000,6830.000000,6620.000000,6670.000000,4857.539551,36385000
2000-05-23,6500.000000,6700.000000,6350.000000,6380.000000,4646.342285,41290000
2000-05-24,6160.000000,6370.000000,5920.000000,6200.000000,4515.254395,72150000
2000-05-25,6330.000000,6380.000000,5930.000000,6000.000000,4369.600586,85965000
2000-05-26,5900.000000,5990.000000,5600.000000,5600.000000,4078.295654,67100000
2000-05-29,5260.000000,5680.000000,5240.000000,5460.000000,3976.336914,67130000
2000-05-30,5460.000000,5460.000000,5460.000000,5460.000000,3976.336914,0
2000-05-31,6000.000000,6290.000000,5960.000000,6160.000000,4486.124023,83935000
2000-06-01,6200.000000,6410.000000,6120.000000,6300.000000,4588.080566,50230000
2000-06-02,6690.000000,6900.000000,6510.000000,6620.000000,4821.125977,84385000
2000-06-05,6920.000000,6980.000000,6680.000000,6740.000000,4908.518555,48010000
2000-06-06,6740.000000,6740.000000,6740.000000,6740.000000,4908.518555,0
2000-06-07,6600.000000,6980.000000,6510.000000,6800.000000,4952.213867,53365000
2000-06-08,6660.000000,6960.000000,6530.000000,6530.000000,4755.582520,58550000
2000-06-09,6600.000000,7040.000000,6530.000000,7020.000000,5112.433594,63860000
2000-06-12,7200.000000,7280.000000,7030.000000,7190.000000,5236.238770,49515000
2000-06-13,7060.000000,7100.000000,6870.000000,7060.000000,5141.563965,42495000
2000-06-14,7230.000000,7640.000000,7090.000000,7640.000000,5563.958496,63020000
2000-06-15,7560.000000,7560.000000,7000.000000,7000.000000,5097.867676,61225000
2000-06-16,6900.000000,6960.000000,6710.000000,6740.000000,4908.518555,66455000
2000-06-19,6600.000000,6950.000000,6550.000000,6700.000000,4879.387695,53560000
2000-06-20,6940.000000,7180.000000,6830.000000,7140.000000,5199.825195,59790000
